year,city,country,avg_temp
1753,Athens,Greece,17.35
1754,Athens,Greece,17.47
1755,Athens,Greece,17.22
1756,Athens,Greece,17.92
1757,Athens,Greece,17.68
1758,Athens,Greece,16.07
1759,Athens,Greece,17.11
1760,Athens,Greece,16.61
1761,Athens,Greece,17.65
1762,Athens,Greece,17.55
1763,Athens,Greece,16.71
1764,Athens,Greece,17.65
1765,Athens,Greece,17.56
1766,Athens,Greece,17.50
1767,Athens,Greece,17.16
1768,Athens,Greece,16.05
1769,Athens,Greece,17.20
1770,Athens,Greece,17.15
1771,Athens,Greece,17.27
1772,Athens,Greece,18.29
1773,Athens,Greece,17.49
1774,Athens,Greece,17.88
1775,Athens,Greece,18.10
1776,Athens,Greece,17.07
1777,Athens,Greece,17.06
1778,Athens,Greece,17.81
1779,Athens,Greece,17.83
1780,Athens,Greece,17.93
1781,Athens,Greece,17.59
1782,Athens,Greece,17.02
1783,Athens,Greece,17.19
1784,Athens,Greece,17.25
1785,Athens,Greece,16.64
1786,Athens,Greece,17.11
1787,Athens,Greece,17.49
1788,Athens,Greece,17.64
1789,Athens,Greece,17.44
1790,Athens,Greece,17.49
1791,Athens,Greece,17.87
1792,Athens,Greece,17.31
1793,Athens,Greece,17.01
1794,Athens,Greece,17.57
1795,Athens,Greece,17.49
1796,Athens,Greece,17.53
1797,Athens,Greece,17.91
1798,Athens,Greece,17.74
1799,Athens,Greece,17.43
1800,Athens,Greece,17.73
1801,Athens,Greece,18.16
1802,Athens,Greece,18.27
1803,Athens,Greece,17.41
1804,Athens,Greece,17.70
1805,Athens,Greece,17.00
1806,Athens,Greece,17.66
1807,Athens,Greece,17.80
1808,Athens,Greece,16.59
1809,Athens,Greece,16.48
1810,Athens,Greece,16.76
1811,Athens,Greece,16.99
1812,Athens,Greece,16.27
1813,Athens,Greece,16.55
1814,Athens,Greece,16.51
1815,Athens,Greece,16.56
1816,Athens,Greece,16.14
1817,Athens,Greece,16.57
1818,Athens,Greece,17.10
1819,Athens,Greece,16.95
1820,Athens,Greece,17.07
1821,Athens,Greece,16.84
1822,Athens,Greece,17.26
1823,Athens,Greece,17.10
1824,Athens,Greece,17.77
1825,Athens,Greece,17.04
1826,Athens,Greece,16.90
1827,Athens,Greece,17.71
1828,Athens,Greece,17.22
1829,Athens,Greece,16.74
1830,Athens,Greece,17.25
1831,Athens,Greece,16.89
1832,Athens,Greece,16.17
1833,Athens,Greece,17.00
1834,Athens,Greece,17.12
1835,Athens,Greece,16.40
1836,Athens,Greece,16.97
1837,Athens,Greece,16.25
1838,Athens,Greece,16.44
1839,Athens,Greece,16.81
1840,Athens,Greece,16.60
1841,Athens,Greece,17.63
1842,Athens,Greece,16.85
1843,Athens,Greece,17.20
1844,Athens,Greece,16.88
1845,Athens,Greece,17.28
1846,Athens,Greece,18.02
1847,Athens,Greece,17.11
1848,Athens,Greece,17.38
1849,Athens,Greece,17.03
1850,Athens,Greece,16.47
1851,Athens,Greece,17.19
1852,Athens,Greece,17.40
1853,Athens,Greece,17.87
1854,Athens,Greece,16.73
1855,Athens,Greece,17.17
1856,Athens,Greece,16.78
1857,Athens,Greece,16.55
1858,Athens,Greece,16.56
1859,Athens,Greece,17.30
1860,Athens,Greece,18.05
1861,Athens,Greece,17.35
1862,Athens,Greece,17.67
1863,Athens,Greece,17.78
1864,Athens,Greece,16.92
1865,Athens,Greece,17.33
1866,Athens,Greece,17.72
1867,Athens,Greece,17.45
1868,Athens,Greece,17.49
1869,Athens,Greece,17.57
1870,Athens,Greece,17.36
1871,Athens,Greece,17.21
1872,Athens,Greece,18.07
1873,Athens,Greece,17.65
1874,Athens,Greece,16.91
1875,Athens,Greece,16.33
1876,Athens,Greece,17.56
1877,Athens,Greece,17.25
1878,Athens,Greece,17.59
1879,Athens,Greece,17.54
1880,Athens,Greece,16.97
1881,Athens,Greece,17.06
1882,Athens,Greece,16.59
1883,Athens,Greece,16.90
1884,Athens,Greece,16.75
1885,Athens,Greece,17.41
1886,Athens,Greece,17.41
1887,Athens,Greece,17.61
1888,Athens,Greece,16.93
1889,Athens,Greece,17.28
1890,Athens,Greece,17.29
1891,Athens,Greece,17.00
1892,Athens,Greece,17.77
1893,Athens,Greece,16.64
1894,Athens,Greece,17.05
1895,Athens,Greece,17.42
1896,Athens,Greece,17.12
1897,Athens,Greece,16.91
1898,Athens,Greece,17.57
1899,Athens,Greece,17.40
1900,Athens,Greece,17.71
1901,Athens,Greece,17.57
1902,Athens,Greece,17.36
1903,Athens,Greece,17.07
1904,Athens,Greece,17.11
1905,Athens,Greece,17.10
1906,Athens,Greece,17.07
1907,Athens,Greece,16.65
1908,Athens,Greece,16.75
1909,Athens,Greece,17.52
1910,Athens,Greece,17.21
1911,Athens,Greece,16.88
1912,Athens,Greece,17.19
1913,Athens,Greece,16.90
1914,Athens,Greece,16.91
1915,Athens,Greece,17.65
1916,Athens,Greece,18.30
1917,Athens,Greece,17.59
1918,Athens,Greece,17.63
1919,Athens,Greece,17.40
1920,Athens,Greece,16.88
1921,Athens,Greece,16.95
1922,Athens,Greece,17.86
1923,Athens,Greece,17.98
1924,Athens,Greece,17.68
1925,Athens,Greece,17.70
1926,Athens,Greece,18.12
1927,Athens,Greece,18.53
1928,Athens,Greece,17.77
1929,Athens,Greece,17.18
1930,Athens,Greece,17.92
1931,Athens,Greece,17.67
1932,Athens,Greece,17.69
1933,Athens,Greece,16.78
1934,Athens,Greece,18.08
1935,Athens,Greece,18.09
1936,Athens,Greece,17.90
1937,Athens,Greece,18.40
1938,Athens,Greece,17.62
1939,Athens,Greece,18.03
1940,Athens,Greece,17.13
1941,Athens,Greece,17.51
1942,Athens,Greece,17.38
1943,Athens,Greece,17.69
1944,Athens,Greece,17.47
1945,Athens,Greece,17.70
1946,Athens,Greece,18.29
1947,Athens,Greece,18.39
